attempt_id,block,position,agent_trial,agent_id,agent_label,seed,started_at,finished_at,valid_attempt,clean_completion,failure_category,laps_completed,lap_time_seconds,distance_m,steps,total_score,mean_speed_kmh,max_speed_kmh,off_track_steps,off_track_events,reverse_steps,reverse_events,stall_events,damage_delta,termination_reason,telemetry_path
b001-p01-agent7_v4,1,1,1,agent7_v4,Agent 7 v4 (race-line TD3),732023,2026-09-06T21:46:50.087399+00:00,2026-09-06T21:46:54.476979+00:00,True,False,car stalled,0,,278.495,2498,47139.721217335304,18.934401157325862,75.0008,0,0,0,0,0,0.0,car stalled,telemetry/b001-p01-agent7_v4.csv.gz
b001-p02-rule_based,1,2,1,rule_based,Rule-based,732020,2026-09-06T21:47:06.198675+00:00,2026-09-06T21:47:11.782173+00:00,True,True,clean_completion,1,98.398,2943.98,4712,504489.8503216592,107.11125436546476,201.177,0,0,0,0,0,0.0,target_laps_completed,telemetry/b001-p02-rule_based.csv.gz
b001-p03-map_aware,1,3,1,map_aware,Map-aware,732021,2026-09-06T21:47:23.532686+00:00,2026-09-06T21:47:28.947336+00:00,True,True,clean_completion,1,91.094,2944.01,4380,501285.95756353356,114.79070587214612,205.36,0,0,0,0,0,0.0,target_laps_completed,telemetry/b001-p03-map_aware.csv.gz
b001-p04-agent8_final,1,4,1,agent8_final,Agent 8 final (sensor-only TD3),732024,2026-09-06T21:47:40.702700+00:00,2026-09-06T21:47:45.967429+00:00,True,False,unsafe heading,0,,2025.39,3009,348806.62522538274,116.16068526523762,187.161,0,0,0,0,0,0.0,unsafe heading,telemetry/b001-p04-agent8_final.csv.gz
b001-p05-dyna_q_final,1,5,1,dyna_q_final,Dyna-Q final,732022,2026-09-06T21:47:58.996278+00:00,2026-09-06T21:48:14.451336+00:00,True,False,completed_unclean,1,278.392,2943.34,13577,518049.9781177429,38.7138048998306,88.2521,148,4,0,0,0,0.0,target_laps_completed,telemetry/b001-p05-dyna_q_final.csv.gz
b002-p01-map_aware,2,1,2,map_aware,Map-aware,732121,2026-09-06T21:48:26.260508+00:00,2026-09-06T21:48:31.630551+00:00,True,True,clean_completion,1,90.97,2943.59,4374,501213.2878900385,114.92551587105625,205.081,0,0,0,0,0,0.0,target_laps_completed,telemetry/b002-p01-map_aware.csv.gz
b002-p02-agent8_final,2,2,2,agent8_final,Agent 8 final (sensor-only TD3),732124,2026-09-06T21:48:43.387792+00:00,2026-09-06T21:48:50.665434+00:00,True,True,clean_completion,1,83.038,2943.15,4013,499793.11303594324,124.75076348445054,249.443,0,0,0,0,0,0.0,target_laps_completed,telemetry/b002-p02-agent8_final.csv.gz
b002-p03-agent7_v4,2,3,2,agent7_v4,Agent 7 v4 (race-line TD3),732123,2026-09-06T21:49:02.504154+00:00,2026-09-06T21:49:10.152740+00:00,True,True,clean_completion,1,105.244,2943.53,5023,493589.6470968688,98.5283578940633,119.763,0,0,0,0,0,0.0,target_laps_completed,telemetry/b002-p03-agent7_v4.csv.gz
b002-p04-dyna_q_final,2,4,2,dyna_q_final,Dyna-Q final,732122,2026-09-06T21:49:23.060098+00:00,2026-09-06T21:49:39.277670+00:00,True,False,completed_unclean,1,289.204,2943.13,14117,516742.4671018672,37.236839486080605,75.5062,229,6,0,0,0,1.0,target_laps_completed,telemetry/b002-p04-dyna_q_final.csv.gz
b002-p05-rule_based,2,5,2,rule_based,Rule-based,732120,2026-09-06T21:49:51.081189+00:00,2026-09-06T21:49:56.677459+00:00,True,False,off_track,0,,2549.01,4562,439904.8680847517,96.5660850876962,175.955,13,1,0,0,0,0.0,out of bounds,telemetry/b002-p05-rule_based.csv.gz
b003-p01-agent8_final,3,1,3,agent8_final,Agent 8 final (sensor-only TD3),732224,2026-09-06T21:50:08.447405+00:00,2026-09-06T21:50:13.247265+00:00,True,False,unsafe heading,0,,2066.39,3134,357249.39137971785,114.24554306416721,176.689,0,0,0,0,0,0.0,unsafe heading,telemetry/b003-p01-agent8_final.csv.gz
b003-p02-dyna_q_final,3,2,3,dyna_q_final,Dyna-Q final,732222,2026-09-06T21:50:26.140456+00:00,2026-09-06T21:50:42.631452+00:00,True,False,completed_unclean,1,288.066,2943.04,14061,519184.5655059828,37.56551909714814,74.4194,158,4,0,0,0,0.0,target_laps_completed,telemetry/b003-p02-dyna_q_final.csv.gz
b003-p03-agent7_v4,3,3,3,agent7_v4,Agent 7 v4 (race-line TD3),732223,2026-09-06T21:50:54.445330+00:00,2026-09-06T21:51:03.213272+00:00,True,False,completed_unclean,1,113.412,2943.29,5394,489757.7908670135,91.87660853008899,118.808,11,1,0,0,0,0.0,target_laps_completed,telemetry/b003-p03-agent7_v4.csv.gz
b003-p04-map_aware,3,4,3,map_aware,Map-aware,732221,2026-09-06T21:51:14.965596+00:00,2026-09-06T21:51:20.415610+00:00,True,True,clean_completion,1,90.97,2943.59,4374,501213.2878900385,114.92551587105625,205.081,0,0,0,0,0,0.0,target_laps_completed,telemetry/b003-p04-map_aware.csv.gz
b003-p05-rule_based,3,5,3,rule_based,Rule-based,732220,2026-09-06T21:51:32.157019+00:00,2026-09-06T21:51:38.043002+00:00,True,True,clean_completion,1,98.398,2943.98,4712,504489.8503216592,107.11125436546476,201.177,0,0,0,0,0,0.0,target_laps_completed,telemetry/b003-p05-rule_based.csv.gz
b004-p01-agent8_final,4,1,4,agent8_final,Agent 8 final (sensor-only TD3),732324,2026-09-06T21:51:49.816663+00:00,2026-09-06T21:51:57.041264+00:00,True,True,clean_completion,1,83.038,2943.15,4013,499793.11303594324,124.75076348445054,249.443,0,0,0,0,0,0.0,target_laps_completed,telemetry/b004-p01-agent8_final.csv.gz
b004-p02-dyna_q_final,4,2,4,dyna_q_final,Dyna-Q final,732322,2026-09-06T21:52:09.969512+00:00,2026-09-06T21:52:25.772981+00:00,True,False,off_track,0,,2650.11,12780,464629.95796953194,37.049985751348466,76.1535,357,7,0,0,0,0.0,car stuck,telemetry/b004-p02-dyna_q_final.csv.gz
b004-p03-agent7_v4,4,3,4,agent7_v4,Agent 7 v4 (race-line TD3),732323,2026-09-06T21:52:37.582164+00:00,2026-09-06T21:52:43.883210+00:00,True,False,off_track,0,,2057.73,3594,350040.0558129592,97.65523038711743,127.571,3,1,0,0,0,0.0,off track,telemetry/b004-p03-agent7_v4.csv.gz
b004-p04-rule_based,4,4,4,rule_based,Rule-based,732320,2026-09-06T21:52:55.656920+00:00,2026-09-06T21:53:01.425378+00:00,True,True,clean_completion,1,98.398,2943.98,4712,504489.8503216592,107.11125436546476,201.177,0,0,0,0,0,0.0,target_laps_completed,telemetry/b004-p04-rule_based.csv.gz
b004-p05-map_aware,4,5,4,map_aware,Map-aware,732321,2026-09-06T21:53:13.210399+00:00,2026-09-06T21:53:18.692327+00:00,True,True,clean_completion,1,90.97,2943.59,4374,501213.2878900385,114.92551587105625,205.081,0,0,0,0,0,0.0,target_laps_completed,telemetry/b004-p05-map_aware.csv.gz
b005-p01-rule_based,5,1,5,rule_based,Rule-based,732420,2026-09-06T21:53:30.439963+00:00,2026-09-06T21:53:36.078118+00:00,True,True,clean_completion,1,98.398,2943.98,4712,504489.8503216592,107.11125436546476,201.177,0,0,0,0,0,0.0,target_laps_completed,telemetry/b005-p01-rule_based.csv.gz
b005-p02-dyna_q_final,5,2,5,dyna_q_final,Dyna-Q final,732422,2026-09-06T21:53:49.052157+00:00,2026-09-06T21:53:59.312153+00:00,True,False,off_track,0,,1946.25,9407,338916.6251270133,36.870296398958224,75.9222,413,8,0,0,0,0.0,out of bounds,telemetry/b005-p02-dyna_q_final.csv.gz
b005-p03-agent7_v4,5,3,5,agent7_v4,Agent 7 v4 (race-line TD3),732423,2026-09-06T21:54:11.120215+00:00,2026-09-06T21:54:20.211418+00:00,True,True,clean_completion,1,103.896,2943.64,4962,494357.476757585,99.84125772093914,123.201,0,0,0,0,0,0.0,target_laps_completed,telemetry/b005-p03-agent7_v4.csv.gz
