policy_path,repeat,seed,trial,order_position,reason,steps,laps,best_lap_seconds,progress_m,total_score,max_speed_kmh,average_speed_kmh,off_track_steps
C:\Users\natha\OneDrive\Desktop\MAT099\mat099-enhanced-ai-racing\models\agent6_td3_scratch_racer.zip,1,2479274972,1,1,car stuck,3443,0,,1430.48,247574.60587321868,129.951,71.987050786233,0
C:\Users\natha\OneDrive\Desktop\MAT099\mat099-enhanced-ai-racing\models\agent6_td3_scratch_racer.zip,1,2479274972,2,2,car stuck,1178,0,,348.412,60501.43564455207,124.296,51.51858311536495,0
C:\Users\natha\OneDrive\Desktop\MAT099\mat099-enhanced-ai-racing\models\agent6_td3_scratch_racer.zip,1,2479274972,3,1,car stuck,3443,0,,1430.48,247574.60587321868,129.951,71.987050786233,0
C:\Users\natha\OneDrive\Desktop\MAT099\mat099-enhanced-ai-racing\models\agent6_td3_scratch_racer.zip,1,2479274972,4,2,car stuck,3443,0,,1430.48,247574.60587321868,129.951,71.987050786233,0
C:\Users\natha\OneDrive\Desktop\MAT099\mat099-enhanced-ai-racing\models\agent6_td3_scratch_racer.zip,2,4091832959,1,2,car stuck,3748,0,,1419.83,245289.14981464422,121.17,65.50982394823924,0
C:\Users\natha\OneDrive\Desktop\MAT099\mat099-enhanced-ai-racing\models\agent6_td3_scratch_racer.zip,2,4091832959,2,1,car stuck,3748,0,,1419.83,245289.14981464422,121.17,65.50982394823924,0
C:\Users\natha\OneDrive\Desktop\MAT099\mat099-enhanced-ai-racing\models\agent6_td3_scratch_racer.zip,2,4091832959,3,2,car stuck,3748,0,,1419.83,245289.14981464422,121.17,65.50982394823924,0
C:\Users\natha\OneDrive\Desktop\MAT099\mat099-enhanced-ai-racing\models\agent6_td3_scratch_racer.zip,2,4091832959,4,1,car stuck,3748,0,,1419.83,245289.14981464422,121.17,65.50982394823924,0
C:\Users\natha\OneDrive\Desktop\MAT099\mat099-enhanced-ai-racing\models\agent6_td3_scratch_racer.zip,3,3342519599,1,1,car stuck,3313,0,,1434.63,247915.42460575374,138.841,74.92138946181709,0
C:\Users\natha\OneDrive\Desktop\MAT099\mat099-enhanced-ai-racing\models\agent6_td3_scratch_racer.zip,3,3342519599,2,2,car stuck,3313,0,,1434.63,247915.42460575374,138.841,74.92138946181709,0
C:\Users\natha\OneDrive\Desktop\MAT099\mat099-enhanced-ai-racing\models\agent6_td3_scratch_racer.zip,3,3342519599,3,1,car stuck,3313,0,,1434.63,247915.42460575374,138.841,74.92138946181709,0
C:\Users\natha\OneDrive\Desktop\MAT099\mat099-enhanced-ai-racing\models\agent6_td3_scratch_racer.zip,3,3342519599,4,2,out of bounds,2007,0,,932.402,159046.5057814204,134.061,79.4246375346289,7
C:\Users\natha\OneDrive\Desktop\MAT099\mat099-enhanced-ai-racing\models\agent6_td3_scratch_racer.zip,4,4079634514,1,2,car stuck,3428,0,,1429.26,246887.06986497692,130.111,72.10553188273039,0
C:\Users\natha\OneDrive\Desktop\MAT099\mat099-enhanced-ai-racing\models\agent6_td3_scratch_racer.zip,4,4079634514,2,1,car stuck,3428,0,,1429.26,246887.06986497692,130.111,72.10553188273039,0
C:\Users\natha\OneDrive\Desktop\MAT099\mat099-enhanced-ai-racing\models\agent6_td3_scratch_racer.zip,4,4079634514,3,2,car stuck,3428,0,,1429.26,246887.06986497692,130.111,72.10553188273039,0
C:\Users\natha\OneDrive\Desktop\MAT099\mat099-enhanced-ai-racing\models\agent6_td3_scratch_racer.zip,4,4079634514,4,1,car stuck,3428,0,,1429.26,246887.06986497692,130.111,72.10553188273039,0
C:\Users\natha\OneDrive\Desktop\MAT099\mat099-enhanced-ai-racing\models\agent6_td3_scratch_racer.zip,5,3423197543,1,1,car stuck,3481,0,,1425.05,246681.40407392237,129.349,70.94674185837412,0
C:\Users\natha\OneDrive\Desktop\MAT099\mat099-enhanced-ai-racing\models\agent6_td3_scratch_racer.zip,5,3423197543,2,2,car stuck,3481,0,,1425.05,246681.40407392237,129.349,70.94674185837412,0
C:\Users\natha\OneDrive\Desktop\MAT099\mat099-enhanced-ai-racing\models\agent6_td3_scratch_racer.zip,5,3423197543,3,1,car stuck,3481,0,,1425.05,246681.40407392237,129.349,70.94674185837412,0
C:\Users\natha\OneDrive\Desktop\MAT099\mat099-enhanced-ai-racing\models\agent6_td3_scratch_racer.zip,5,3423197543,4,2,car stuck,3481,0,,1425.05,246681.40407392237,129.349,70.94674185837412,0
C:\Users\natha\OneDrive\Desktop\MAT099\mat099-enhanced-ai-racing\models\agent6_td3_scratch_racer_best_evaluation.zip,1,2479274972,1,2,car stuck,3431,0,,1435.62,247906.64205675316,130.03,72.34014274555521,0
C:\Users\natha\OneDrive\Desktop\MAT099\mat099-enhanced-ai-racing\models\agent6_td3_scratch_racer_best_evaluation.zip,1,2479274972,2,1,car stuck,3431,0,,1435.62,247906.64205675316,130.03,72.34014274555521,0
