repeat,episode,steps,reward,distance_m,max_speed_kmh,average_speed_kmh,off_track_steps,damage_delta,laps_completed,best_lap_time_seconds,termination_reason
1,1,3965,1040.141357044376,2048.21,111.615,87.7528974456241,1,0.0,0,,off_track
2,2,3973,1014.1165777211015,2046.83,109.906,87.64219392698202,1,0.0,0,,off_track
3,3,3860,985.0118856257177,2048.8,111.546,90.4372988010104,1,0.0,0,,off_track
4,4,5516,1494.9413496651116,2943.6,109.435,89.52308966133063,0,0.0,1,116.084,lap_completed
5,5,3921,1023.9239483452759,2046.44,112.721,88.71464161486887,1,0.0,0,,off_track
6,6,5531,1499.0402054013455,2943.58,108.277,89.3553229564093,0,0.0,1,116.416,lap_completed
7,7,3966,1023.3550010540578,2051.92,114.293,87.78685591828003,1,0.0,0,,off_track
8,8,5577,1512.5893200668663,2943.26,107.094,88.5740292400753,0,0.0,1,117.44,lap_completed
9,9,5424,1487.3156601968979,2943.07,119.447,91.23932106782813,0,0.0,1,114.058,lap_completed
10,10,5531,1513.6904649264895,2943.15,105.881,89.19579486022434,0,0.0,1,116.432,lap_completed
