repeat,episode,steps,reward,distance_m,max_speed_kmh,average_speed_kmh,off_track_steps,damage_delta,laps_completed,best_lap_time_seconds,termination_reason
1,1,3180,941.0494397765825,1923.38,208.028,105.14641620685563,1,0.0,0,,off_track
2,2,3498,976.1791603811993,1920.71,202.426,94.33905532435682,1,0.0,0,,off_track
3,3,2307,444.24982454572086,1019.53,199.942,75.47949409735607,1,0.0,0,,off_track
4,4,3707,898.6455628352849,1920.69,201.91,88.56883341807395,1,0.0,0,,off_track
5,5,627,207.84981270595668,399.127,200.966,109.04667678947365,1,0.0,0,,off_track
6,6,1972,513.8969396979256,1018.85,198.68,87.89591257155178,1,0.0,0,,off_track
7,7,679,205.7299060109092,434.462,206.998,107.84990717098677,0,0.0,0,,backwards
8,8,2098,477.01753894031367,1017.32,205.391,82.24609590490954,1,0.0,0,,off_track
9,9,2049,608.974528730283,1232.93,207.228,102.83355732425572,1,0.0,0,,off_track
10,10,1760,511.0470164113915,1019.17,201.469,98.73429521596589,1,0.0,0,,off_track
