repeat,episode,steps,reward,distance_m,max_speed_kmh,average_speed_kmh,off_track_steps,damage_delta,laps_completed,best_lap_time_seconds,termination_reason
1,1,2993,1381.1671832432603,2031.45,186.059,117.08777565255568,1,0.0,0,,off_track
2,2,3010,1385.5434049299574,2035.62,186.335,116.76180736049841,1,0.0,0,,off_track
3,3,3018,1383.0860488235433,2031.74,187.505,116.2591829089132,1,0.0,0,,off_track
4,4,2969,1381.2861649451604,2032.2,187.247,118.06321406716063,1,0.0,0,,off_track
5,5,3017,1387.282374410091,2038.36,187.14,116.61794320662912,1,0.0,0,,off_track
6,6,2983,1386.4091453508286,2038.79,186.685,117.89118328048951,1,0.0,0,,off_track
7,7,3022,1395.5384262563578,2049.9,187.816,117.11768500843823,1,0.0,0,,off_track
8,8,3049,1406.3068797610713,2069.34,186.484,117.1118932838307,0,0.0,0,,unsafe_heading
9,9,2980,1386.639512004098,2038.54,189.27,118.02509026164415,1,0.0,0,,off_track
10,10,3068,1408.2391921981034,2071.41,187.476,116.5254199930249,0,0.0,0,,unsafe_heading
11,11,2994,1386.9278549965836,2037.9,188.229,117.49737094993323,1,0.0,0,,off_track
12,12,3015,1395.1094215151702,2049.25,191.362,117.33149933923728,1,0.0,0,,off_track
13,13,3034,1400.2832090821478,2057.15,186.121,117.06020620290067,1,0.0,0,,off_track
14,14,3030,1404.3038154708872,2067.44,189.441,117.63862317808602,0,0.0,0,,unsafe_heading
15,15,3008,1391.0298880586206,2042.85,188.02,117.3003291764628,1,0.0,0,,off_track
16,16,2986,1381.0535029223743,2031.33,186.866,117.37404654407224,1,0.0,0,,off_track
17,17,3013,1393.7430587926683,2049.69,187.171,117.34121902525706,1,0.0,0,,off_track
18,18,3030,1388.0812908431901,2039.06,187.601,116.19523073600662,1,0.0,0,,off_track
19,19,2994,1382.3491358478084,2033.4,187.813,117.16545664776204,1,0.0,0,,off_track
20,20,4015,2986.2630139584194,2943.58,247.475,124.67066730744699,0,0.0,1,83.074,lap_completed
