repeat,episode,step,distance_m,distance_from_start_m,speed_kmh,heading_angle_rad,track_position,target_track_position,racing_line_error,minimum_track_sensor_m,raw_steer,control_steer,steering_delta,raw_longitudinal,control_accel,control_brake,control_gear,reward,reward_forward_velocity,reward_racing_line_factor,reward_steering_rate_penalty,reward_terminal_penalty,reward_progress_m,reward_lap_completion_bonus,reward_centering_penalty,lookahead_curvature_0m,lookahead_curvature_25m,lookahead_curvature_50m,lookahead_curvature_75m,lookahead_curvature_100m,lookahead_curvature_125m,lookahead_curvature_150m,lookahead_curvature_175m,lookahead_curvature_200m,lookahead_curvature_225m,lookahead_curvature_250m,lookahead_curvature_275m,physical_failure,termination_reason
1,1,2765,1900.47,1800.47,114.298,-0.0543578,0.0444489,0.0,0.0444489,6.569690227508545,-0.040822237730026245,-0.040822237730026245,0.028964102268218994,0.09651920199394226,0.09651920199394226,0.0,6,0.45641583506720634,0.45651671760081736,1.0,-2.0972980505096218e-06,0.0,0.0,0.0,-9.87852355605e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,
1,1,2766,1901.11,1801.11,114.452,-0.0475729,0.049025,0.0,0.049025,6.582039833068848,0.07345310598611832,0.07345310598611832,0.11427534371614456,0.736581563949585,0.736581563949585,0.0,6,0.45713722688840125,0.45729004655510486,1.0,-3.264713545360745e-05,0.0,0.0,0.0,-0.00012017253125000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,
1,1,2767,1901.75,1801.75,114.085,-0.0441683,0.0537064,0.0,0.0537064,6.571459770202637,0.2129186987876892,0.2129186987876892,0.1394655928015709,-0.2578498125076294,0.0,0.2578498125076294,6,0.4557021039880276,0.4558949494870143,1.0,-4.8626628938733964e-05,0.0,0.0,0.0,-0.000144218870048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,
1,1,2768,1902.38,1802.38,113.019,-0.0435613,0.0584732,0.0,0.0584732,6.541560173034668,0.25118058919906616,0.25118058919906616,0.03826189041137695,-0.5138490200042725,0.0,0.5138490200042725,6,0.4514725253981599,0.4516471410847165,1.0,-3.6599306446305488e-06,0.0,0.0,0.0,-0.00017095575591200002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,
1,1,2769,1903.01,1803.01,112.279,-0.0432089,0.0630798,0.0,0.0630798,6.51108980178833,0.09752731025218964,0.09752731025218964,-0.15365327894687653,0.5377713441848755,0.5377713441848755,0.0,6,0.44843883702529475,0.44869681340902456,1.0,-5.902332532781662e-05,0.0,0.0,0.0,-0.00019895305840200006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,
1,1,2770,1903.63,1803.63,112.413,-0.0403903,0.067305,0.0,0.067305,6.499650001525879,-0.021344488486647606,-0.021344488486647606,-0.11887179873883724,0.7182545065879822,0.7182545065879822,0.0,6,0.4490234496314608,0.4492852740440493,1.0,-3.532626133851657e-05,0.0,0.0,0.0,-0.00022649815125000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,
1,1,2771,1904.26,1804.26,112.651,-0.0364168,0.0711365,0.0,0.0711365,6.498740196228027,0.1126125305891037,0.1126125305891037,0.1339570190757513,0.6131080389022827,0.6131080389022827,0.0,6,0.45000735997571484,0.4503052412647265,1.0,-4.4861207399152996e-05,0.0,0.0,0.0,-0.00025302008161250003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,
1,1,2772,1904.89,1804.89,112.766,-0.0358527,0.0750824,0.0,0.0750824,6.474219799041748,0.25194600224494934,0.25194600224494934,0.13933347165584564,0.4413891136646271,0.4413891136646271,0.0,6,0.4504437257088927,0.45077412858918986,1.0,-4.853454080917585e-05,0.0,0.0,0.0,-0.00028186833948799995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,
1,1,2773,1905.52,1805.52,112.613,-0.0390542,0.0793594,0.0,0.0793594,6.422339916229248,0.37138816714286804,0.37138816714286804,0.1194421648979187,-0.05214063078165054,0.0,0.05214063078165054,6,0.4497579602918691,0.45010852208717583,1.0,-3.5666076888754004e-05,0.0,0.0,0.0,-0.000314895718418,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,
1,1,2774,1906.14,1806.14,111.811,-0.0449804,0.0840652,0.0,0.0840652,6.350269794464111,0.3047531545162201,0.3047531545162201,-0.06663501262664795,-0.42647725343704224,0.0,0.42647725343704224,6,0.44642718765611955,0.4467916361109409,1.0,-1.1100562269383829e-05,0.0,0.0,0.0,-0.00035334789255200003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,
