repeat,episode,steps,reward,distance_m,max_speed_kmh,average_speed_kmh,off_track_steps,damage_delta,laps_completed,best_lap_time_seconds,termination_reason
1,1,1151,416.0552431361348,776.686,196.31,113.91408536752382,1,0.0,0,,off_track
2,2,2984,1033.8166098376566,2052.04,198.67,118.285976889913,1,0.0,0,,off_track
3,3,2984,1033.8166098376566,2052.04,198.67,118.285976889913,1,0.0,0,,off_track
4,4,2984,1033.8166098376566,2052.04,198.67,118.285976889913,1,0.0,0,,off_track
5,5,2984,1033.8166098376566,2052.04,198.67,118.285976889913,1,0.0,0,,off_track
6,6,2984,1033.8166098376566,2052.04,198.67,118.285976889913,1,0.0,0,,off_track
7,7,2984,1033.8166098376566,2052.04,198.67,118.285976889913,1,0.0,0,,off_track
8,8,2984,1033.8166098376566,2052.04,198.67,118.285976889913,1,0.0,0,,off_track
9,9,2984,1033.8166098376566,2052.04,198.67,118.285976889913,1,0.0,0,,off_track
10,10,2984,1033.8166098376566,2052.04,198.67,118.285976889913,1,0.0,0,,off_track
11,11,2984,1033.8166098376566,2052.04,198.67,118.285976889913,1,0.0,0,,off_track
12,12,2984,1033.8166098376566,2052.04,198.67,118.285976889913,1,0.0,0,,off_track
13,13,2984,1033.8166098376566,2052.04,198.67,118.285976889913,1,0.0,0,,off_track
14,14,2984,1033.8166098376566,2052.04,198.67,118.285976889913,1,0.0,0,,off_track
15,15,2984,1033.8166098376566,2052.04,198.67,118.285976889913,1,0.0,0,,off_track
16,16,2984,1033.8166098376566,2052.04,198.67,118.285976889913,1,0.0,0,,off_track
17,17,2984,1033.8166098376566,2052.04,198.67,118.285976889913,1,0.0,0,,off_track
18,18,2984,1033.8166098376566,2052.04,198.67,118.285976889913,1,0.0,0,,off_track
19,19,2984,1033.8166098376566,2052.04,198.67,118.285976889913,1,0.0,0,,off_track
20,20,2923,1040.5159348695117,2045.14,198.67,120.40945748871027,1,0.0,0,,off_track
