repeat,episode,steps,reward,distance_m,max_speed_kmh,average_speed_kmh,off_track_steps,damage_delta,laps_completed,best_lap_time_seconds,termination_reason
1,1,1453,498.8530863200859,979.277,198.314,112.4217862217482,1,0.0,0,,off_track
2,2,3653,1352.6247630790272,2579.6,198.522,120.87998010700782,1,0.0,0,,off_track
3,3,4001,1552.3229101068816,2943.56,249.881,125.24236143624108,0,0.0,1,82.768,lap_completed
4,4,1448,499.82886481525856,977.261,197.938,112.54287879820431,1,0.0,0,,off_track
5,5,3980,1571.6402502759481,2944.39,252.363,125.92805828726127,0,0.0,1,82.294,lap_completed
6,6,1459,496.99555614027594,977.901,200.471,111.79639512741609,1,0.0,0,,off_track
7,7,1458,493.35031011985586,987.057,200.959,112.71216191625511,1,0.0,0,,off_track
8,8,1488,496.14159833206065,981.194,199.485,109.71774821895161,1,0.0,0,,off_track
9,9,1141,404.4828461767156,772.736,197.313,114.0471094863278,1,0.0,0,,off_track
10,10,1451,499.39635328575645,988.904,198.548,113.63024000702981,1,0.0,0,,off_track
11,11,3687,1381.4417380715845,2584.13,201.856,119.90258114993212,1,0.0,0,,off_track
12,12,1413,482.9776993973303,951.143,196.003,112.3671284057326,1,0.0,0,,off_track
13,13,1164,409.5942873428817,793.197,197.837,114.4650832226803,1,0.0,0,,off_track
14,14,4054,1577.4592617234669,2943.59,244.712,123.47906200291084,0,0.0,1,83.934,lap_completed
15,15,4085,1552.9457868388336,2943.41,239.808,122.41805493025699,0,0.0,1,84.616,lap_completed
16,16,1441,499.57603731800015,965.18,199.83,111.76339368049962,1,0.0,0,,off_track
17,17,3650,1338.302914765241,2577.02,198.849,120.90181777090403,1,0.0,0,,off_track
18,18,1440,499.1633020663047,976.029,200.277,113.07122049291682,1,0.0,0,,off_track
19,19,4017,1588.1650323752197,2943.51,235.237,124.74245568553611,0,0.0,1,83.118,lap_completed
20,20,1412,488.05311247484826,946.297,197.38,111.91980785474482,1,0.0,0,,off_track
