repeat,episode,steps,reward,distance_m,max_speed_kmh,average_speed_kmh,off_track_steps,damage_delta,laps_completed,best_lap_time_seconds,termination_reason
1,1,581,145.5585898132757,357.318,184.526,104.5417820728054,1,0.0,0,,off_track
2,2,531,150.54069563455843,358.082,194.43,114.44920181600752,1,0.0,0,,off_track
3,3,549,159.4956512883352,364.806,196.148,112.82296192040072,1,0.0,0,,off_track
4,4,1540,416.5848024004057,931.386,192.945,101.2553054118831,1,0.0,0,,off_track
5,5,515,146.13435603673108,348.778,207.384,114.66243288213589,1,0.0,0,,off_track
6,6,1551,423.681359340323,938.536,186.585,101.58120143410702,1,0.0,0,,off_track
7,7,564,138.60620395272707,352.818,198.354,105.8440252358156,1,0.0,0,,off_track
8,8,561,157.747946288401,353.658,193.411,106.78109726256685,1,0.0,0,,off_track
9,9,1693,437.371504363824,1019.49,188.687,101.41178004388642,1,0.0,0,,off_track
10,10,564,148.4233229468378,367.378,192.533,110.6716301572695,1,0.0,0,,off_track
11,11,2218,679.113877787013,1379.56,192.384,106.33288222917038,1,0.0,0,,off_track
12,12,1465,417.6035806149993,929.698,193.47,106.46556902682596,1,0.0,0,,off_track
13,13,548,143.102260274567,359.413,191.343,111.54349631934306,1,0.0,0,,off_track
14,14,1506,412.3496638978144,933.065,194.1,103.90280836328029,1,0.0,0,,off_track
15,15,635,152.5686839260019,383.948,192.259,103.79184482566933,1,0.0,0,,off_track
16,16,534,158.13111683573942,358.506,204.925,113.87585209063668,1,0.0,0,,off_track
17,17,493,134.48981631537026,325.701,206.493,110.89597534340776,1,0.0,0,,off_track
18,18,515,147.64824753869996,353.916,209.821,116.50798064699026,1,0.0,0,,off_track
19,19,565,161.18704877079475,368.729,191.791,110.93729563592912,1,0.0,0,,off_track
20,20,1584,429.4795647184703,1001.13,194.571,106.01965154299238,1,0.0,0,,off_track
