repeat,episode,step,distance_m,distance_from_start_m,speed_kmh,heading_angle_rad,track_position,target_track_position,racing_line_error,minimum_track_sensor_m,raw_steer,control_steer,steering_delta,raw_longitudinal,control_accel,control_brake,control_gear,reward,reward_forward_velocity,reward_racing_line_factor,reward_steering_rate_penalty,reward_terminal_penalty,reward_progress_m,reward_lap_completion_bonus,lookahead_curvature_0m,lookahead_curvature_25m,lookahead_curvature_50m,lookahead_curvature_75m,lookahead_curvature_100m,lookahead_curvature_125m,lookahead_curvature_150m,lookahead_curvature_175m,lookahead_curvature_200m,lookahead_curvature_225m,lookahead_curvature_250m,lookahead_curvature_275m,physical_failure,termination_reason
1,1,485,300.265,200.264,107.846,-0.0263138,-0.432357,0.0,-0.432357,4.123770236968994,-0.8917901515960693,-0.6242531061172485,-1.7171080112457275,-0.53407883644104,0.0,0.53407883644104,6,0.2333727255542576,0.431384,0.5409860485188547,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,
1,1,486,300.86,200.86,106.768,-0.032416,-0.429453,0.0,-0.429453,4.171780109405518,0.14380094408988953,0.10066066086292266,1.0355910956859589,-0.1438135802745819,0.0,0.1438135802745819,6,0.22959874348530768,0.427072,0.5376113242856185,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,
1,1,487,301.452,201.452,106.75,-0.0358498,-0.426254,0.0,-0.426254,4.210619926452637,-0.7886952757835388,-0.5520866930484771,-0.9324962198734283,0.8797572255134583,0.8797572255134583,0.0,6,0.229410593598851,0.427,0.537261343322836,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,
1,1,488,302.046,202.046,107.002,-0.0330471,-0.423344,0.0,-0.423344,4.219289779663086,0.9538382887840271,0.6676868021488189,1.742533564567566,0.6071794033050537,0.6071794033050537,0.0,6,0.23243783766284568,0.428008,0.5430689091391883,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,
1,1,489,302.639,202.639,106.401,-0.0314538,-0.420213,0.0,-0.420213,4.234990119934082,-0.8683923482894897,-0.6078746438026428,-1.8222306370735168,-0.3671015501022339,0.0,0.3671015501022339,6,0.2331644940065965,0.425604,0.5478437561832044,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,
1,1,490,303.226,203.226,104.929,-0.0271296,-0.417415,0.0,-0.417415,4.235960006713867,0.8680629134178162,0.6076440393924712,1.736455261707306,-0.8508583307266235,0.0,0.8508583307266235,6,0.23298046621209872,0.41971600000000003,0.5550907428168064,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,
1,1,491,303.805,203.804,103.861,-0.023926,-0.414701,0.0,-0.414701,4.24137020111084,-0.5099756717681885,-0.3569829702377319,-1.3780385851860046,0.9356015920639038,0.9356015920639038,0.0,6,0.2331010874327043,0.41544400000000004,0.5610890696043372,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,
1,1,492,304.381,204.381,103.793,-0.0194532,-0.412396,0.0,-0.412396,4.238230228424072,0.9097033143043518,0.6367923200130462,1.4196789860725403,0.7835359573364258,0.7835359573364258,0.0,6,0.23580225964951626,0.41517200000000004,0.5679628193845352,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,
1,1,493,304.958,204.958,104.131,-0.0172622,-0.410129,0.0,-0.410129,4.244929790496826,-0.6937257647514343,-0.485608035326004,-1.6034290790557861,0.9889155626296997,0.9889155626296997,0.0,6,0.23844360778666235,0.416524,0.5724606692211309,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,
1,1,494,305.538,205.537,104.354,-0.01246,-0.408488,0.0,-0.408488,4.235730171203613,0.7022088766098022,0.4915462136268615,1.3959346413612366,0.5104263424873352,0.5104263424873352,0.0,6,0.24167330237657766,0.417416,0.5789746976076089,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,
1,1,495,306.118,206.118,104.565,-0.0104023,-0.406942,0.0,-0.406942,4.237870216369629,-0.1500711292028427,-0.1050497904419899,-0.852280005812645,0.7117551565170288,0.7117551565170288,0.0,6,0.24367902224525254,0.41825999999999997,0.5826017841659555,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,
1,1,496,306.7,206.7,104.884,-0.00876623,-0.405659,0.0,-0.405659,4.239960193634033,0.7986575961112976,0.5590603172779083,0.9487287253141403,0.9673031568527222,0.9673031568527222,0.0,6,0.24565362391652523,0.419536,0.5855364591275247,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,
1,1,497,307.283,207.283,105.113,-0.0107948,-0.404095,0.0,-0.404095,4.259920120239258,-0.26170212030410767,-0.18319148421287534,-1.0603597164154053,0.5487918853759766,0.5487918853759766,0.0,6,0.24598634504132014,0.420452,0.5850521463599178,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,
1,1,498,307.868,207.868,105.349,-0.0120575,-0.402553,0.0,-0.402553,4.27646017074585,0.5680469274520874,0.39763284921646114,0.8297490477561951,0.7959587574005127,0.7959587574005127,0.0,6,0.246650285255358,0.421396,0.5853171013852956,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,
1,1,499,308.453,208.453,105.401,-0.0155068,-0.400654,0.0,-0.400654,4.305290222167969,-0.017980311065912247,-0.012586217746138571,-0.5860272385179996,0.08474414050579071,0.08474414050579071,0.0,6,0.24609851547337608,0.421604,0.5837195934416564,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,
1,1,500,309.039,209.039,105.608,-0.0192607,-0.39847,0.0,-0.39847,4.337810039520264,0.6239687204360962,0.4367781043052673,0.6419490315020084,0.8986425995826721,0.8986425995826721,0.0,6,0.24589133464924398,0.42243200000000003,0.5820850093014828,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,
1,1,501,309.626,209.625,105.497,-0.0265225,-0.395527,0.0,-0.395527,4.392300128936768,-0.16605134308338165,-0.11623594015836715,-0.7900200635194778,-0.08328975737094879,0.0,0.08328975737094879,6,0.24374107417094126,0.421988,0.5776019085162167,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,
1,1,502,310.211,210.211,105.597,-0.0335359,-0.39217,0.0,-0.39217,4.449709892272949,0.404772013425827,0.2833404093980789,0.5708233565092087,0.980152428150177,0.980152428150177,0.0,6,0.2423400928548943,0.422388,0.573738110114147,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,
1,1,503,310.797,210.797,105.386,-0.042576,-0.387964,0.0,-0.387964,4.524419784545898,-0.06875382363796234,-0.048127676546573635,-0.47352583706378937,-0.17913800477981567,0.0,0.17913800477981567,6,0.23967585606445785,0.421544,0.5685666408831768,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,
1,1,504,311.382,211.382,105.451,-0.0483181,-0.383355,0.0,-0.383355,4.587259769439697,0.128308966755867,0.0898162767291069,0.19706279039382935,0.996241569519043,0.996241569519043,0.0,6,0.2392382048875378,0.42180399999999996,0.5671786063848087,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,
1,1,505,311.968,211.968,105.689,-0.0514525,-0.378358,0.0,-0.378358,4.640480041503906,-0.12014616280794144,-0.084102313965559,-0.24845512956380844,0.4371292293071747,0.4371292293071747,0.0,6,0.24050115832077787,0.42275599999999997,0.5688888113256296,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,
1,1,506,312.556,212.556,105.98,-0.0521533,-0.373128,0.0,-0.373128,4.683149814605713,0.21048018336296082,0.14733612835407256,0.33062634617090225,0.9953728318214417,0.9953728318214417,0.0,6,0.2430683790099867,0.42392,0.5733826642054791,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,
1,1,507,313.145,213.145,106.26,-0.0575007,-0.366965,0.0,-0.366965,4.757500171661377,0.5499318838119507,0.38495231866836543,0.33945170044898987,0.8114315271377563,0.8114315271377563,0.0,6,0.24393609670895736,0.42504000000000003,0.5739132710073342,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,
1,1,508,313.735,213.734,106.495,-0.0669357,-0.359577,0.0,-0.359577,4.864749908447266,0.5126811265945435,0.3588767886161804,-0.03725075721740723,0.88089519739151,0.88089519739151,0.0,6,0.24336148545137065,0.42598,0.5712979141071661,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,
1,1,509,314.326,214.325,106.804,-0.0777532,-0.351029,0.0,-0.351029,4.991099834442139,0.0021035901736468077,0.0014725131215527652,-0.5105775364208966,0.9894176721572876,0.9894176721572876,0.0,6,0.24277611362952847,0.427216,0.5682748624338239,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,
1,1,510,314.918,214.918,107.21,-0.0836893,-0.341992,0.0,-0.341992,5.083509922027588,0.023293152451515198,0.016305206716060637,0.02118956227786839,0.9965648055076599,0.9965648055076599,0.0,6,0.24483181114344815,0.42884,0.5709164516916523,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,
1,1,511,315.513,215.513,107.581,-0.088534,-0.332348,0.0,-0.332348,5.159949779510498,0.340913861989975,0.23863970339298246,0.3176207095384598,0.9871695041656494,0.9871695041656494,0.0,6,0.24757272917060916,0.43032400000000004,0.5753170382563119,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,
1,1,512,316.109,216.109,107.788,-0.0967343,-0.32159,0.0,-0.32159,5.25,0.541440486907959,0.3790083408355713,0.200526624917984,0.6135735511779785,0.6135735511779785,0.0,6,0.24883997177451203,0.431152,0.5771513799646344,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,
1,1,513,316.705,216.705,107.907,-0.107106,-0.309622,0.0,-0.309622,5.347710132598877,0.294552743434906,0.2061869204044342,-0.24688774347305298,0.5513221621513367,0.5513221621513367,0.0,6,0.24937147886049157,0.431628,0.5777462974146523,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,
1,1,514,317.302,217.302,108.156,-0.11533,-0.296841,0.0,-0.296841,5.425179958343506,-0.2462044358253479,-0.17234310507774353,-0.5407571792602539,0.837769627571106,0.837769627571106,0.0,6,0.25154548753379763,0.432624,0.5814413613988073,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,
1,1,515,317.901,217.9,108.494,-0.11623,-0.284022,0.0,-0.284022,5.447050094604492,-0.1483953595161438,-0.10387675166130066,0.0978090763092041,0.8911888003349304,0.8911888003349304,0.0,6,0.2574616509401766,0.433976,0.5932624175995369,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,
1,1,516,318.482,218.482,108.712,-0.101243,-0.271864,0.0,-0.271864,5.44651985168457,0.09184028953313828,0.06428820267319679,0.24023564904928207,0.47629186511039734,0.47629186511039734,0.0,6,0.2704516151653375,0.434848,0.6219451743260576,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,
1,1,517,319.063,219.063,108.314,-0.0895479,-0.260786,0.0,-0.260786,5.460639953613281,0.5030949115753174,0.35216643810272213,0.4112546220421791,-0.2534233331680298,0.0,0.2534233331680298,6,0.2797876244837496,0.433256,0.6457789955216999,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,
1,1,518,319.641,219.641,107.242,-0.0824572,-0.250605,0.0,-0.250605,5.4935197830200195,0.4860651195049286,0.34024558365345,-0.017029792070388794,-0.551206111907959,0.0,0.551206111907959,6,0.284677552152367,0.428968,0.6636335394536819,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,
1,1,519,320.215,220.214,106.452,-0.0768012,-0.241514,0.0,-0.241514,5.526350021362305,-0.4047355651855469,-0.28331489562988277,-0.8908006846904755,0.9718576669692993,0.9718576669692993,0.0,6,0.2890437997889242,0.425808,0.6788125159436276,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,
