step,distFromStart,speedX,speedY,angle,trackPos,sensorFront,curLapTime,lastLapTime,steer,accel,brake,gear
1,2743.1,0.0,0.0,1.74846e-07,-9.53674e-07,160.615,-0.962,0.0,3.1821971999999996e-08,1.0,0.0,1
2,2743.1,0.0,0.0,1.74846e-07,-9.53674e-07,160.615,-0.942,0.0,5.537023127999999e-08,1.0,0.0,1
3,2743.1,0.0,0.0,1.74846e-07,-9.53674e-07,160.615,-0.922,0.0,7.27959431472e-08,1.0,0.0,1
4,2743.1,0.0,0.0,1.74846e-07,-9.53674e-07,160.615,-0.902,0.0,8.5690969928928e-08,1.0,0.0,1
5,2743.1,0.0,0.0,1.74846e-07,-9.53674e-07,160.615,-0.882,0.0,9.523328974740671e-08,1.0,0.0,1
6,2743.1,0.0,0.0,1.74846e-07,-9.53674e-07,160.615,-0.862,0.0,1.0229460641308097e-07,1.0,0.0,1
7,2743.1,0.0,0.0,1.74846e-07,-9.53674e-07,160.615,-0.842,0.0,1.0751998074567992e-07,1.0,0.0,1
8,2743.1,0.0,0.0,1.74846e-07,-9.53674e-07,160.615,-0.822,0.0,1.1138675775180313e-07,1.0,0.0,1
9,2743.1,0.0,0.0,1.74846e-07,-9.53674e-07,160.615,-0.802,0.0,1.1424817273633431e-07,1.0,0.0,1
10,2743.1,0.0,0.0,1.74846e-07,-9.53674e-07,160.615,-0.782,0.0,1.1636561982488738e-07,1.0,0.0,1
11,2743.1,0.0,0.0,1.74846e-07,-9.53674e-07,160.615,-0.762,0.0,1.1793253067041666e-07,1.0,0.0,1
12,2743.1,0.0,0.0,1.74846e-07,-9.53674e-07,160.615,-0.742,0.0,1.1909204469610832e-07,1.0,0.0,1
13,2743.1,0.0,0.0,1.74846e-07,-9.53674e-07,160.615,-0.722,0.0,1.1995008507512015e-07,1.0,0.0,1
14,2743.1,0.0,0.0,1.74846e-07,-9.53674e-07,160.615,-0.702,0.0,1.205850349555889e-07,1.0,0.0,1
15,2743.1,0.0,0.0,1.74846e-07,-9.53674e-07,160.615,-0.682,0.0,1.2105489786713578e-07,1.0,0.0,1
16,2743.1,0.0,0.0,1.74846e-07,-9.53674e-07,160.615,-0.662,0.0,1.2140259642168049e-07,1.0,0.0,1
17,2743.1,0.0,0.0,1.74846e-07,-9.53674e-07,160.615,-0.642,0.0,1.2165989335204354e-07,1.0,0.0,1
18,2743.1,0.0,0.0,1.74846e-07,-9.53674e-07,160.615,-0.622,0.0,1.2185029308051223e-07,1.0,0.0,1
19,2743.1,0.0,0.0,1.74846e-07,-9.53674e-07,160.615,-0.602,0.0,1.2199118887957904e-07,1.0,0.0,1
20,2743.1,0.0,0.0,1.74846e-07,-9.53674e-07,160.615,-0.582,0.0,1.2209545177088847e-07,1.0,0.0,1
21,2743.1,0.0,0.0,1.74846e-07,-9.53674e-07,160.615,-0.562,0.0,1.2217260631045747e-07,1.0,0.0,1
22,2743.1,0.0,0.0,1.74846e-07,-9.53674e-07,160.615,-0.542,0.0,1.2222970066973852e-07,1.0,0.0,1
23,2743.1,0.0,0.0,1.74846e-07,-9.53674e-07,160.615,-0.522,0.0,1.222719504956065e-07,1.0,0.0,1
24,2743.1,0.0,0.0,1.74846e-07,-9.53674e-07,160.615,-0.502,0.0,1.223032153667488e-07,1.0,0.0,1
25,2743.1,0.0,0.0,1.74846e-07,-9.53674e-07,160.615,-0.482,0.0,1.223263513713941e-07,1.0,0.0,1
26,2743.1,0.0,0.0,1.74846e-07,-9.53674e-07,160.615,-0.462,0.0,1.2234347201483162e-07,1.0,0.0,1
27,2743.1,0.0,0.0,1.74846e-07,-9.53674e-07,160.615,-0.442,0.0,1.2235614129097537e-07,1.0,0.0,1
28,2743.1,0.0,0.0,1.74846e-07,-9.53674e-07,160.615,-0.422,0.0,1.2236551655532178e-07,1.0,0.0,1
29,2743.1,0.0,0.0,1.74846e-07,-9.53674e-07,160.615,-0.402,0.0,1.2237245425093813e-07,1.0,0.0,1
30,2743.1,0.0,0.0,1.74846e-07,-9.53674e-07,160.615,-0.382,0.0,1.2237758814569422e-07,1.0,0.0,1
31,2743.1,0.0,0.0,1.74846e-07,-9.53674e-07,160.615,-0.362,0.0,1.223813872278137e-07,1.0,0.0,1
32,2743.1,0.0,0.0,1.74846e-07,-9.53674e-07,160.615,-0.342,0.0,1.2238419854858216e-07,1.0,0.0,1
33,2743.1,0.0,0.0,1.74846e-07,-9.53674e-07,160.615,-0.322,0.0,1.223862789259508e-07,1.0,0.0,1
34,2743.1,0.0,0.0,1.74846e-07,-9.53674e-07,160.615,-0.302,0.0,1.2238781840520357e-07,1.0,0.0,1
35,2743.1,0.0,0.0,1.74846e-07,-9.53674e-07,160.615,-0.282,0.0,1.2238895761985064e-07,1.0,0.0,1
36,2743.1,0.0,0.0,1.74846e-07,-9.53674e-07,160.615,-0.262,0.0,1.2238980063868946e-07,1.0,0.0,1
37,2743.1,0.0,0.0,1.74846e-07,-9.53674e-07,160.615,-0.242,0.0,1.223904244726302e-07,1.0,0.0,1
38,2743.1,0.0,0.0,1.74846e-07,-9.53674e-07,160.615,-0.222,0.0,1.2239088610974634e-07,1.0,0.0,1
39,2743.1,0.0,0.0,1.74846e-07,-9.53674e-07,160.615,-0.202,0.0,1.2239122772121227e-07,1.0,0.0,1
40,2743.1,0.0,0.0,1.74846e-07,-9.53674e-07,160.615,-0.182,0.0,1.2239148051369708e-07,1.0,0.0,1
