id,experiment_id,agent_id,started_at,track,seed,total_score,steps,max_speed,avg_speed,off_track_count,duration_seconds,termination_reason,laps_completed,best_lap_time_seconds,average_lap_time_seconds
19,,8,2026-07-08T17:01:35.632428+00:00,corkscrew,,9284.081979362054,486,1.3887200000000002,0.467450078633745,0,14.568653300171718,race_finished,0,,
18,,8,2026-07-08T13:57:45.473472+00:00,corkscrew,,431693.78987939365,4542,3.7495999999999996,1.886878622540731,55,98.39828349999152,race_finished,0,,
17,,7,2026-07-08T13:45:28.816487+00:00,corkscrew,,343222.4377782277,5000,3.3066199999999997,1.385995975247153,1278,109.10639999993145,target_laps_completed,1,104.73,104.73
16,,5,2026-07-08T12:58:45.368363+00:00,corkscrew,,619916.022836368,5301,3.8755399999999995,2.342164614022633,0,113.89034810010344,target_laps_completed,1,111.352,111.352
15,,6,2026-07-08T12:53:31.803376+00:00,corkscrew,,619396.1747897251,6333,3.3856200000000003,1.9670170086938248,0,136.03142210002989,target_laps_completed,1,133.506,133.506
14,,5,2026-07-08T12:45:23.103584+00:00,corkscrew,,16277929.668354472,150000,3.8837,2.1715971391264577,0,164.4513059000019,target_laps_completed,1,117.358,117.358
13,,4,2026-07-08T12:40:21.272942+00:00,corkscrew,,15025745.72560568,100000,3.94022,3.0052649728844787,0,138.74090249999426,target_laps_completed,1,110.23,110.23
12,,3,2026-07-08T12:20:59.553389+00:00,corkscrew,,16096801.052063357,100000,3.87364,3.2236038151091626,0,130.95152019988745,max_steps,0,,
11,,3,2026-07-08T12:18:16.494605+00:00,corkscrew,,15025745.72560568,100000,3.94022,3.0052649728844787,0,139.47828839998692,max_steps,1,110.238,110.238
10,,3,2026-07-07T16:49:37.035689+00:00,corkscrew,,15025745.72560568,100000,3.94022,3.0052649728844787,0,123.4235909000272,max_steps,0,,
