global_step,optimizer_steps,actor_updates,replay_size,critic_loss,actor_loss,q1_mean,q2_mean,target_q_mean
1000,250,125,11000,5.375470869541168,0.33065467202663423,-0.4112940833568573,-0.41139314233884217,-0.4154782705307007
2000,500,250,12000,5.170782539367676,0.5443286023139954,-0.62111644333601,-0.6215476030111313,-0.6213128312826156
3000,750,375,13000,4.855997292041779,0.7525742535591126,-0.7692649757862091,-0.7686459722518921,-0.774996080160141
4000,1000,500,14000,4.742953020572663,0.8540345969200134,-0.9332261307239532,-0.9332431972026825,-0.9340245101451874
5000,1250,625,15000,4.606264161109924,0.9992439732551575,-1.0439841911792755,-1.0434707419872284,-1.0439411499500275
6000,1500,750,16000,4.401911308288574,1.1565511708259582,-1.176904273033142,-1.177570503950119,-1.1805907225608825
7000,1750,875,17000,4.215096049308777,1.3181200876235961,-1.3156103699207307,-1.315656513929367,-1.316583872318268
8000,2000,1000,18000,3.9163616037368776,1.4112397537231445,-1.4427949285507202,-1.4429948172569276,-1.444352918624878
9000,2250,1125,19000,3.8421641957759856,1.5143777780532837,-1.5659863381385803,-1.566006697177887,-1.5689716010093688
10000,2500,1250,20000,3.7973080611228944,1.6646908206939697,-1.6870453667640686,-1.6867378106117248,-1.6886913204193115
11000,2750,1375,21000,3.6283518426418304,1.7766704502105712,-1.8127704582214355,-1.813027410030365,-1.8144658851623534
12000,3000,1500,22000,3.568376289844513,1.9209528493881225,-1.9390339522361755,-1.9383207225799561,-1.939233413696289
13000,3250,1625,23000,3.1894969145059586,2.245688437461853,-2.202182107925415,-2.202253683567047,-2.20432856464386
14000,3500,1750,24000,3.005677873849869,2.4628244724273682,-2.501757784843445,-2.502061677932739,-2.5024242601394655
15000,3750,1875,25000,2.850717669963837,2.5014439964294435,-2.5494280986785887,-2.5493386507034304,-2.5520362482070924
16000,4000,2000,26000,2.670903485774994,2.708808214187622,-2.7472244777679444,-2.747735689163208,-2.74773459815979
17000,4250,2125,27000,2.447281406879425,3.060975061416626,-2.9543714714050293,-2.953811589241028,-2.9548394021987914
18000,4500,2250,28000,2.291270794391632,3.3157266025543213,-3.2059603519439697,-3.205792799949646,-3.209198784828186
19000,4750,2375,29000,2.041440353631973,3.6059520835876464,-3.439038070678711,-3.438890892982483,-3.4407876358032228
20000,5000,2500,30000,1.9572157480716705,3.560613477706909,-3.6441953773498534,-3.6444197130203246,-3.644662218093872
21000,5250,2625,31000,1.9116203900575637,3.446344020843506,-3.6041073780059816,-3.6046208868026732,-3.6054531459808348
22000,5500,2750,32000,1.9320848393440246,3.5159465389251707,-3.633629114151001,-3.6335713243484498,-3.6342861070632932
23000,5750,2875,33000,1.8047583957910538,3.508745599746704,-3.6443681325912474,-3.6443576889038085,-3.6473941192626955
24000,6000,3000,34000,1.7752066680192948,3.6324892559051514,-3.703677571296692,-3.7038423376083376,-3.7034094591140745
25000,6250,3125,35000,1.7388240530490875,3.687181573867798,-3.7435630292892457,-3.7437380113601684,-3.7444774475097655
26000,6500,3250,36000,1.669667966246605,3.980750944137573,-3.8898142862319944,-3.889935778617859,-3.8899919538497927
27000,6750,3375,37000,1.5377339663505554,4.323422927856445,-4.149875134468078,-4.149871599197388,-4.153267035484314
28000,7000,3500,38000,1.3934163665771484,4.593827793121338,-4.386902709960937,-4.386970228195191,-4.3878279838562015
29000,7250,3625,39000,1.2260017238855363,4.852101631164551,-4.61574280166626,-4.615814683914184,-4.617639242172241
30000,7500,3750,40000,1.0699880644083024,4.9808087730407715,-4.832856519699097,-4.832900890350341,-4.834396469116211
31000,7750,3875,41000,0.9822865613102912,5.173041648864746,-5.019992429733277,-5.020006422042846,-5.020242427825928
32000,8000,4000,42000,0.8546303334236145,5.270260055541992,-5.191454936981201,-5.191380304336548,-5.19222843170166
32950,8237,4118,42950,0.8530542980015027,5.348710031832679,-5.326256554840989,-5.3264239387673165,-5.327169420346932
