mode,policy_controlled,global_step,episode,steps,reward,distance_m,max_speed_kmh,average_speed_kmh,off_track_steps,damage_delta,laps_completed,best_lap_time_seconds,termination_reason
replay_warmup,True,171377,1,5540,1505.706716146353,2943.28,110.885,89.16712684889882,0,0.0,1,116.626,lap_completed
replay_warmup,True,171377,2,3971,1026.122688149648,2049.14,108.963,87.61347727950155,1,0.0,0,,off_track
training,True,176247,3,5361,1402.5642132633873,2943.19,117.237,92.3782938300503,0,0.0,1,112.692,lap_completed
training,True,180149,4,3902,915.9366081702356,2080.74,110.714,90.52112180494649,0,591.0,0,,crashed
evaluation,True,180149,5,4966,1477.1464582129229,2943.18,124.258,99.83554390924296,0,0.0,1,104.002,lap_completed
evaluation,True,180149,6,4941,1514.6708252282167,2943.46,123.05,100.21652815652683,0,0.0,1,103.442,lap_completed
evaluation,True,180149,7,3609,1030.5969861935473,2099.39,122.031,99.14289260282663,1,0.0,0,,off_track
training,True,184068,8,3919,841.3985891700116,2030.99,116.807,88.30529201079362,0,0.0,0,,backwards
training,True,184856,9,788,192.79842240763475,399.308,125.822,87.87272679123109,1,0.0,0,,off_track
training,True,185664,10,808,181.617206069233,402.35,121.501,86.51342094797022,1,0.0,0,,off_track
training,True,186428,11,764,177.6609903808342,375.988,121.15,85.49093257870416,1,0.0,0,,off_track
training,True,187142,12,714,173.1016183999891,355.63,138.639,86.10074564355745,1,0.0,0,,off_track
training,True,189484,13,2342,526.3225216748323,1225.08,129.82,89.43311618215185,1,0.0,0,,off_track
training,True,191121,14,1637,398.582991709999,874.013,120.808,89.52381898970667,1,0.0,0,,off_track
evaluation,True,191121,15,754,186.50865710962265,399.708,137.444,91.8230574095624,1,0.0,0,,off_track
evaluation,True,191121,16,765,192.7767380687021,395.674,141.101,89.72492508079749,1,0.0,0,,off_track
evaluation,True,191121,17,727,180.68298184544392,372.894,139.722,88.99199585530953,1,0.0,0,,off_track
training,True,191867,18,746,179.44450130102157,385.028,130.193,89.70687695147454,1,0.0,0,,off_track
training,True,197115,19,5248,475.8203345101424,1451.38,114.113,47.06193517050505,1,0.0,0,,off_track
training,True,197832,20,717,178.67467231236873,390.789,146.613,94.66659571506275,1,0.0,0,,off_track
training,True,198543,21,711,176.3682332417186,386.061,146.018,93.97389589859344,1,0.0,0,,off_track
training,True,199257,22,714,170.15440060626156,382.506,140.762,92.78966247156858,1,0.0,0,,off_track
training,True,199914,23,657,168.20294709142343,372.044,159.169,97.31005558127865,1,0.0,0,,off_track
training,True,200300,24,386,71.27746815554728,166.977,129.792,72.35098418937824,1,0.0,0,,off_track
evaluation,True,200300,25,386,70.70612830150772,168.999,132.684,73.11404474585497,1,0.0,0,,off_track
evaluation,True,200300,26,636,139.6550432643378,356.258,145.549,96.707789106761,1,0.0,0,,off_track
evaluation,True,200300,27,660,155.9895414697874,373.317,154.512,97.83981662409097,1,0.0,0,,off_track
training,True,200681,28,381,73.19458843418238,168.645,133.473,73.98627315196843,1,0.0,0,,off_track
training,True,201068,29,387,72.4589285608245,171.692,129.055,73.95005680594312,1,0.0,0,,off_track
training,True,201732,30,664,177.0821535366693,370.264,145.267,96.11652046219889,1,0.0,0,,off_track
