global_step,optimizer_steps,actor_updates,replay_size,critic_loss,actor_loss,rl_actor_loss,behaviour_cloning_loss,behaviour_cloning_coefficient,q1_mean,q2_mean,target_q_mean
0,2000,0,30000,405.1914392434694,,,,,4.724786967381835,4.728889893514163,4.776607831060886
1000,2125,62,30998,266.13103215408324,-7.907355400823778,-7.972710509454051,0.06555401149295992,0.9971025,7.954722988128662,7.94796619796753,7.950886966705323
2000,2250,125,31998,349.58488709259035,-8.415879234435065,-8.475514797937302,0.06015882661773099,0.9911650000000001,8.42679280090332,8.426778301239013,8.460326171875
3000,2375,187,32998,164.42247943115234,-8.7575857024039,-8.820984940375052,0.06434376606897961,0.9852275,8.651483032226562,8.649360599517822,8.659523403167725
4000,2500,250,33998,375.90559669494627,-9.211916090950133,-9.274249341752794,0.06365302349958155,0.97929,9.269892448425294,9.26404916381836,9.288676197052002
5000,2625,312,34998,290.4199638900757,-9.616371723913378,-9.681479000276134,0.06688668269423707,0.9733525000000001,9.619042881011962,9.579287033081055,9.650546783447266
6000,2750,375,35998,188.3162667388916,-9.980943346780444,-10.044032339065794,0.06520736448111988,0.967415,9.838334186553954,9.892836540222168,9.851171104431153
7000,2875,437,36998,200.97138765716554,-10.24144607974637,-10.301260686689808,0.06221080484289315,0.9614775,10.12182494354248,10.092427585601806,10.116067611694335
8000,3000,500,37998,312.8966286697388,-11.045880226861863,-11.111086497231135,0.06824669916005362,0.95554,10.758764739990234,10.758415767669678,10.779976440429687
9000,3125,562,38998,242.3352863006592,-11.20166495538527,-11.262003114146571,0.0635472973207793,0.9496025,10.936038619995117,10.938377548217774,10.936995018005371
10000,3250,625,39998,181.63171044921876,-11.400390019492498,-11.46097861395942,0.06420158949636277,0.9436650000000001,11.234755069732666,11.2206632270813,11.280965682983398
11000,3375,687,40998,161.74378857421874,-11.732527440594088,-11.798430550482966,0.07027721825626589,0.9377275,11.578972541809081,11.575452522277832,11.564241928100586
12000,3500,750,41998,238.29647691345215,-12.819323660835387,-12.884470470367916,0.06992377402881782,0.93179,12.307587005615234,12.303404930114747,12.315829399108887
13000,3625,812,42998,155.48323614501953,-12.842408703219506,-12.907315038865612,0.07010945683765796,0.9258525000000001,12.404870376586913,12.425510498046876,12.413784675598144
14000,3750,875,43998,157.43037953948973,-12.862064982217456,-12.931450722709535,0.07542475138510031,0.919915,12.560262199401855,12.541961975097657,12.548619247436523
15000,3875,937,44998,163.66213426208495,-13.388868254999961,-13.461580153434507,0.07957034023298372,0.9139775,13.015370109558106,13.021708106994629,13.033402877807617
16000,4000,1000,45998,134.25491091918946,-13.722366741725377,-13.800052854749891,0.08554370494352447,0.90804,13.321743446350098,13.310388214111327,13.302790992736817
17000,4125,1062,46998,199.99626605224609,-14.249642202931065,-14.327064529542,0.08581936013914886,0.9021025,13.865005088806152,13.878590133666993,13.880210227966309
