mode,policy_controlled,global_step,episode,steps,reward,distance_m,max_speed_kmh,average_speed_kmh,off_track_steps,damage_delta,laps_completed,best_lap_time_seconds,termination_reason
replay_warmup,True,0,1,3083,1399.35799135916,2068.5,182.085,115.71666226181307,0,0.0,0,,unsafe_heading
replay_warmup,True,0,2,3058,1386.5975309659998,2041.04,186.853,115.7001343387507,1,0.0,0,,off_track
replay_warmup,True,0,3,3087,1396.428967304711,2061.19,182.894,115.24399917470011,1,0.0,0,,off_track
replay_warmup,True,0,4,3024,1389.4131427932775,2050.92,190.298,116.98400809451046,1,0.0,0,,off_track
replay_warmup,True,0,5,3033,1380.564992980966,2039.14,183.496,115.95915068077825,1,0.0,0,,off_track
replay_warmup,True,0,6,3032,1385.7048817595305,2046.27,189.421,116.48549255732219,1,0.0,0,,off_track
replay_warmup,True,0,7,3050,1389.5565003435438,2045.93,187.618,115.9608186426886,1,0.0,0,,off_track
replay_warmup,True,0,8,3055,1382.7364980787734,2040.34,185.678,115.32634990880511,1,0.0,0,,off_track
replay_warmup,True,0,9,3033,1379.6004249805735,2038.75,183.883,115.95888340089012,1,0.0,0,,off_track
training,True,101,11,101,-10.23895670435436,0.0,0.0,0.0,0,0.0,0,,stalled
training,True,3173,12,3072,1385.4958854430795,2040.01,183.022,114.72235603977883,1,0.0,0,,off_track
training,True,4611,13,1438,615.3270326128504,940.404,177.556,109.94814896432531,1,0.0,0,,off_track
training,True,7494,14,2883,1300.8682444776616,1914.91,173.183,114.7158893300037,1,0.0,0,,off_track
evaluation,True,7494,15,2999,1392.664563741286,2048.46,186.916,117.76466963361146,1,0.0,0,,off_track
evaluation,True,7494,16,3028,1389.090485064882,2039.29,184.294,116.33494379187572,1,0.0,0,,off_track
evaluation,True,7494,17,2987,1384.7844206193913,2033.89,184.708,117.55958849551395,1,0.0,0,,off_track
evaluation,True,7494,18,3003,1392.7540743602713,2048.26,182.921,117.62717958278388,1,0.0,0,,off_track
