mode,policy_controlled,global_step,episode,steps,reward,distance_m,max_speed_kmh,average_speed_kmh,off_track_steps,damage_delta,laps_completed,best_lap_time_seconds,termination_reason
evaluation_baseline,True,0,1,1479,481.90763370156714,977.68,198.944,109.9140145374577,1,0.0,0,,off_track
evaluation_baseline,True,0,2,1479,481.90763370156714,977.68,198.944,109.9140145374577,1,0.0,0,,off_track
evaluation_baseline,True,0,3,3147,1095.9256016308466,2085.99,198.944,114.37438109339041,0,536.0,0,,crashed
evaluation_baseline,True,0,4,1479,481.90763370156714,977.68,198.944,109.9140145374577,1,0.0,0,,off_track
evaluation_baseline,True,0,5,1479,481.90763370156714,977.68,198.944,109.9140145374577,1,0.0,0,,off_track
evaluation_baseline,True,0,6,1479,481.90763370156714,977.68,198.944,109.9140145374577,1,0.0,0,,off_track
evaluation_baseline,True,0,7,1479,481.90763370156714,977.68,198.944,109.9140145374577,1,0.0,0,,off_track
evaluation_baseline,True,0,8,1479,481.90763370156714,977.68,198.944,109.9140145374577,1,0.0,0,,off_track
evaluation_baseline,True,0,9,1479,481.90763370156714,977.68,198.944,109.9140145374577,1,0.0,0,,off_track
evaluation_baseline,True,0,10,1479,481.90763370156714,977.68,198.944,109.9140145374577,1,0.0,0,,off_track
replay_warmup,True,0,11,1479,481.90763370156714,977.68,198.944,109.9140145374577,1,0.0,0,,off_track
replay_warmup,True,0,12,1479,481.90763370156714,977.68,198.944,109.9140145374577,1,0.0,0,,off_track
replay_warmup,True,0,13,1479,481.90763370156714,977.68,198.944,109.9140145374577,1,0.0,0,,off_track
replay_warmup,True,0,14,1479,481.90763370156714,977.68,198.944,109.9140145374577,1,0.0,0,,off_track
replay_warmup,True,0,15,1479,481.90763370156714,977.68,198.944,109.9140145374577,1,0.0,0,,off_track
replay_warmup,True,0,16,1479,481.90763370156714,977.68,198.944,109.9140145374577,1,0.0,0,,off_track
replay_warmup,True,0,17,1479,481.90763370156714,977.68,198.944,109.9140145374577,1,0.0,0,,off_track
replay_warmup,True,0,18,1479,481.90763370156714,977.68,198.944,109.9140145374577,1,0.0,0,,off_track
replay_warmup,True,0,19,1479,481.90763370156714,977.68,198.944,109.9140145374577,1,0.0,0,,off_track
