mode,policy_controlled,global_step,episode,steps,reward,distance_m,max_speed_kmh,average_speed_kmh,off_track_steps,damage_delta,laps_completed,best_lap_time_seconds,termination_reason
replay_warmup,True,3140340,1,2928,1046.6549123296875,2029.14,195.094,119.73742894515034,1,0.0,0,,off_track
replay_warmup,True,3140340,2,2957,1066.5551396764881,2034.02,192.57,118.84179308816385,1,0.0,0,,off_track
replay_warmup,True,3140340,3,2943,1082.9532442263467,2030.69,191.536,119.2455837428474,1,0.0,0,,off_track
training,True,3140646,4,1480,498.2820778577653,982.438,191.84,110.70437348500019,1,0.0,0,,off_track
training,True,3142720,5,2074,631.1431468487121,1335.04,188.443,111.38509923582427,1,0.0,0,,off_track
training,True,3143488,6,768,205.21532785145698,428.638,169.234,95.51181677695321,1,0.0,0,,off_track
training,True,3144871,7,1383,362.2667286544841,742.613,150.332,91.21185243846716,1,0.0,0,,off_track
training,True,3146466,8,1595,479.7124460173637,929.461,182.761,98.50503933924783,1,0.0,0,,off_track
training,True,3146822,9,356,88.97085272589484,177.762,164.21,83.15649285449443,1,0.0,0,,off_track
training,True,3147376,10,554,158.92974660969102,347.683,177.595,106.71837333826713,1,0.0,0,,off_track
training,True,3148820,11,1444,419.06754165338367,885.307,171.477,103.93212321932111,1,0.0,0,,off_track
training,True,3150315,12,1495,414.68555624239707,878.073,185.796,98.93408489511708,1,0.0,0,,off_track
evaluation,True,3150315,13,1473,485.14292207134326,944.827,190.166,107.4375497003394,1,0.0,0,,off_track
evaluation,True,3150315,14,1463,495.16932023274194,984.911,191.16,113.14564768188637,1,0.0,0,,off_track
evaluation,True,3150315,15,1619,486.8271319733496,972.376,190.927,100.11729995911047,1,0.0,0,,off_track
training,True,3150909,16,594,169.04026264448964,361.777,175.817,103.77942244444436,1,0.0,0,,off_track
training,True,3151256,17,347,77.06009267368103,164.411,151.283,79.43574719365996,1,0.0,0,,off_track
training,True,3152440,18,1184,340.26465803436395,680.816,172.721,97.8200175213683,1,0.0,0,,off_track
training,True,3153094,19,654,189.3517316308318,362.072,186.774,94.75844429235478,1,0.0,0,,off_track
training,True,3153689,20,595,146.3646154916817,363.104,193.454,104.3165474327731,1,0.0,0,,off_track
training,True,3154746,21,1057,225.4968992643076,447.191,184.235,71.70912109725633,1,0.0,0,,off_track
training,True,3155312,22,566,166.6128945803791,327.001,180.107,97.1779607367491,0,0.0,0,,stalled
training,True,3156068,23,756,218.5693785980421,426.179,191.802,96.75780510132266,0,0.0,0,,stalled
training,True,3158100,24,2032,250.4204311208655,546.583,187.09,45.7621319572836,1,0.0,0,,off_track
training,True,3158994,25,894,193.11784487932727,409.629,186.527,76.95423225279636,1,0.0,0,,off_track
training,True,3159561,26,567,160.7923131759452,331.227,181.734,98.25929466014117,1,0.0,0,,off_track
training,True,3160036,27,475,116.86085455135306,287.083,167.595,97.96628612357894,0,0.0,0,,backwards
evaluation,True,3160036,28,1563,485.0728721686953,957.338,199.62,101.34319016909791,1,0.0,0,,off_track
evaluation,True,3160036,29,628,204.76415399003298,397.085,201.344,108.45087369442673,1,0.0,0,,off_track
evaluation,True,3160036,30,1470,468.7229616703159,946.457,200.866,106.65466187544222,1,0.0,0,,off_track
training,True,3161446,31,1410,245.62464958630417,572.201,187.663,67.94229096361701,1,0.0,0,,off_track
training,True,3161876,32,430,114.8161591491857,249.396,169.937,95.92433053930233,1,0.0,0,,off_track
training,True,3162159,33,283,9.467360196696298,42.5242,40.4749,25.95417572438162,1,0.0,0,,off_track
training,True,3163283,34,1124,331.17984899582285,661.803,187.835,100.26140490889678,1,0.0,0,,off_track
training,True,3164532,35,1249,308.0521877175939,642.295,190.593,86.03544268662942,1,0.0,0,,off_track
training,True,3165467,36,935,291.171810173835,554.326,187.213,102.06797831122995,1,0.0,0,,off_track
training,True,3166866,37,1399,419.75785520880277,858.729,190.262,103.32215495954267,1,0.0,0,,off_track
training,True,3167332,38,466,123.90406574873364,276.779,172.165,99.36740223133046,1,0.0,0,,off_track
training,True,3168335,39,1003,270.71604187735807,572.639,183.58,97.90995291784645,1,0.0,0,,off_track
training,True,3168881,40,546,165.73046833910774,350.937,192.849,109.75493530128209,1,0.0,0,,off_track
training,True,3169325,41,444,114.70308294497882,252.277,161.83,94.46469632995493,1,0.0,0,,off_track
training,True,3170938,42,1613,179.64219136899587,497.668,104.956,53.838029391506595,1,0.0,0,,off_track
evaluation,True,3170938,43,593,198.9352706370563,386.757,202.743,111.36801033946038,1,0.0,0,,off_track
evaluation,True,3170938,44,551,184.18073061143582,367.187,205.513,113.5986966929219,1,0.0,0,,off_track
evaluation,True,3170938,45,551,184.06269200430674,369.067,205.831,114.22763834809429,1,0.0,0,,off_track
training,True,3171405,46,467,84.59745626879601,240.725,133.911,86.98737783640257,1,0.0,0,,off_track
training,True,3171794,47,389,90.29193570921234,199.75,158.36,85.12158102982004,1,0.0,0,,off_track
training,True,3172291,48,497,35.433551442224946,132.132,69.0677,45.819778521328,0,0.0,0,,backwards
training,True,3172635,49,344,79.62081886537311,162.121,155.932,79.14960340261631,1,0.0,0,,off_track
training,True,3173086,50,451,35.77410050329951,111.356,68.2215,41.715023254323725,0,0.0,0,,backwards
training,True,3173638,51,552,38.7492716916616,128.851,59.126,41.56930292318843,1,0.0,0,,off_track
training,True,3173998,52,360,80.40031074683634,171.785,151.812,79.91883273222227,1,0.0,0,,off_track
training,True,3174362,53,364,76.48328977665255,168.233,150.475,77.33113671181319,1,0.0,0,,off_track
