global_step,optimizer_steps,actor_updates,replay_size,critic_loss,actor_loss,q1_mean,q2_mean,target_q_mean
0,2000,0,30000,0.13830207083467394,,1.935464994719252,1.9357805478572845,1.936703762292862
1000,2125,31,30998,0.10817638516426087,-3.0409371237601004,3.029447072982788,3.0299784812927246,3.030209281921387
2000,2250,62,31998,0.07376799537241459,-3.1670294807803248,3.164095798492432,3.163555767059326,3.1641061763763427
3000,2375,93,32998,0.059292316138744354,-3.2833593276239212,3.2931252269744875,3.2932541599273684,3.293393356323242
4000,2500,125,33998,0.1098458999544382,-3.461079940199852,3.4366215019226076,3.4365144805908203,3.4376715774536133
5000,2625,156,34998,0.06859899969398975,-3.5790481182836715,3.5821183700561523,3.582561855316162,3.5828490257263184
6000,2750,187,35998,0.05406236696243286,-3.7088803475902927,3.6944500217437746,3.693906391143799,3.6942622814178465
7000,2875,218,36998,0.07589116916060448,-3.8470381921337498,3.850457580566406,3.8507349166870117,3.851418809890747
8000,3000,250,37998,0.07801889514923095,-4.009046129882336,3.998057985305786,3.9982560958862305,3.9983975505828857
9000,3125,281,38998,0.08688696756958962,-4.1256050678991505,4.125485496520996,4.125017698287964,4.125949329376221
10000,3250,312,39998,0.07627621504664421,-4.331769112617739,4.299842288970948,4.300132963180542,4.300209041595459
11000,3375,343,40998,0.09205362515151501,-4.452069559404927,4.441835037231446,4.441799636840821,4.442011882781983
12000,3500,375,41998,0.0853593747317791,-4.625516906380653,4.586807151794433,4.586837253570557,4.587410415649414
13000,3625,406,42998,0.1331809023320675,-4.787069320678711,4.807398990631103,4.807143840789795,4.807332489013672
14000,3750,437,43998,0.11307820457220077,-4.967042153881442,4.9643652000427245,4.964224002838135,4.964971199035644
15000,3875,468,44998,0.09856647536158562,-5.155125141143799,5.103248119354248,5.1031235961914065,5.10357286453247
16000,4000,500,45998,0.1048926520049572,-5.283649355173111,5.232986545562744,5.233289058685303,5.233522365570068
17000,4125,531,46998,0.11192014110088348,-5.375624533622496,5.348212757110596,5.348033252716064,5.349122013092041
18000,4250,562,47998,0.15321910792589188,-5.538168907165527,5.48339867401123,5.48352172088623,5.484079406738282
19000,4375,593,48998,0.1593849753141403,-5.678852942682082,5.6365617065429685,5.636235374450684,5.636708724975586
20000,4500,625,49998,0.15970870578289031,-5.757234305143356,5.75149361038208,5.752103439331055,5.752371593475342
21000,4625,656,50998,0.1645885491967201,-5.927271658374417,5.857153240203857,5.856976943969727,5.857333854675293
22000,4750,687,51998,0.16223115652799605,-6.031152479110226,5.987001953125,5.986768028259277,5.988081817626953
23000,4875,718,52998,0.1847687137722969,-6.183380326917095,6.153461200714111,6.153228176116944,6.154067890167236
24000,5000,750,53998,0.1707473810315132,-6.2838835418224335,6.283075046539307,6.282776992797851,6.282292995452881
25000,5125,781,54998,0.1680238294005394,-6.455108534905218,6.403113899230957,6.403886283874511,6.404893314361572
26000,5250,812,55998,0.17000457173585892,-6.617169087932956,6.564087787628174,6.564023666381836,6.565079219818116
27000,5375,843,56998,0.19170487684011459,-6.746724728615053,6.68350919342041,6.683535041809082,6.683950584411621
28000,5500,875,57998,0.1857501979470253,-6.85796445608139,6.829432037353516,6.8297063217163085,6.829778842926025
29000,5625,906,58998,0.18014743250608445,-7.006495091222948,6.954969612121582,6.954437351226806,6.9553152885437015
30000,5750,937,59998,0.21395065438747407,-7.087098275461504,7.046153549194336,7.0466689453125,7.047331085205078
31000,5875,968,60998,0.2016071702837944,-7.24962588279478,7.233353004455567,7.23299352645874,7.234230236053467
32000,6000,1000,61998,0.2260789629817009,-7.40897810459137,7.329372497558594,7.32962523651123,7.329930927276611
33000,6125,1031,62998,0.22411382001638414,-7.602077268785046,7.484421970367432,7.484164909362793,7.484508338928222
34000,6250,1062,63998,0.2456645349264145,-7.633414160820745,7.625474422454834,7.625776077270507,7.6267602844238285
35000,6375,1093,64998,0.23600805020332336,-7.793633968599381,7.754571525573731,7.754133720397949,7.754840614318848
36000,6500,1125,65998,0.23825087493658065,-7.836414664983749,7.847471206665039,7.8479400215148925,7.847867210388183
37000,6625,1156,66998,0.2800519400835037,-8.029577024521366,7.934608749389648,7.934474494934082,7.935921737670898
38000,6750,1187,67998,0.3118878924846649,-8.011402453145672,8.03934434890747,8.03957158279419,8.039770751953125
39000,6875,1218,68998,0.32676435613632204,-8.203768407144855,8.153878856658936,8.154557216644287,8.154949420928956
40000,7000,1250,69998,0.3982481760978699,-8.382153555750847,8.298134994506835,8.297137535095215,8.298772453308105
41000,7125,1281,70998,0.3343009766340256,-8.391470755300213,8.395195903778076,8.395295143127441,8.39494309234619
42000,7250,1312,71998,0.42073188507556913,-8.63245948668449,8.53376636505127,8.533811748504638,8.5353772315979
43000,7375,1343,72998,0.4692598754167557,-8.707626004372873,8.657997047424317,8.658367980957031,8.658890045166016
44000,7500,1375,73998,0.4094304184913635,-8.804279863834381,8.774543876647948,8.774636863708496,8.776445472717285
45000,7625,1406,74998,0.49032408046722414,-8.962332694761214,8.913290809631347,8.913912681579589,8.914413314819337
46000,7750,1437,75998,0.49118118798732757,-9.066397359294276,9.074232192993165,9.074229393005371,9.0737699508667
47000,7875,1468,76998,0.47491240680217744,-9.216125395990186,9.180524787902833,9.18101882171631,9.1828857421875
48000,8000,1500,77998,0.5777684992551804,-9.319496095180511,9.249475463867187,9.249053352355958,9.247441452026367
49000,8125,1531,78998,0.4726140888929367,-9.531466730179325,9.452560562133788,9.452363250732422,9.454908348083496
50000,8250,1562,79999,0.47419335281848907,-9.620314874956685,9.529050483703614,9.529525245666504,9.5298335647583
