mode,policy_controlled,global_step,episode,steps,reward,distance_m,max_speed_kmh,average_speed_kmh,off_track_steps,damage_delta,laps_completed,best_lap_time_seconds,termination_reason
replay_warmup,True,3140340,1,2949,1056.6201709940053,2032.94,193.545,119.00034816761615,1,0.0,0,,off_track
replay_warmup,True,3140340,2,1699,460.87965450437883,970.905,195.657,95.29760617351398,1,0.0,0,,off_track
replay_warmup,True,3140340,3,1630,431.23737752111964,951.884,196.566,96.9939367612884,1,0.0,0,,off_track
replay_warmup,True,3140340,4,1652,451.9129340868846,966.743,194.24,97.27547369588352,1,0.0,0,,off_track
replay_warmup,True,3140340,5,1420,464.3949014342602,933.286,197.009,109.82774135690148,1,0.0,0,,off_track
replay_warmup,True,3140340,6,1489,493.7275282553885,975.206,192.693,109.10817248119558,1,0.0,0,,off_track
replay_warmup,True,3140340,7,1661,461.9211202478797,960.349,198.357,96.32566611402758,1,0.0,0,,off_track
replay_warmup,True,3140340,8,1633,449.11286173499093,957.173,198.363,97.28198822314758,1,0.0,0,,off_track
replay_warmup,True,3140340,9,1575,452.1802812060865,943.652,200.199,99.27626005390476,1,0.0,0,,off_track
replay_warmup,True,3140340,10,3061,1040.216063121612,2024.46,193.459,114.12678680921256,1,0.0,0,,off_track
replay_warmup,True,3140340,11,3183,1060.951905770665,2040.41,202.954,110.54881646503281,1,0.0,0,,off_track
replay_warmup,True,3140340,12,1624,457.40064474341057,961.323,197.818,98.29279870049284,1,0.0,0,,off_track
replay_warmup,True,3140340,13,3460,1105.516973099587,2191.67,196.13,108.54939049728318,0,235.0,0,,crashed
training,True,3140384,14,3010,1074.613966761764,2007.6,193.768,115.1677084710299,0,0.0,0,,stalled
training,True,3142650,15,2266,682.3879875947842,1307.61,182.082,98.97574399536634,1,0.0,0,,off_track
training,True,3144165,16,1515,450.6699086983991,902.146,190.108,100.58374452151811,1,0.0,0,,off_track
training,True,3146381,17,2216,669.5884347258739,1319.62,196.218,102.29908480415158,1,0.0,0,,off_track
training,True,3149501,18,3120,1128.8024623823578,2033.41,195.219,113.47771581423095,1,0.0,0,,off_track
training,True,3150941,19,1440,486.68868584083225,941.334,197.61,109.3266559213889,1,0.0,0,,off_track
evaluation,True,3150941,20,1449,492.07701176792915,978.092,200.958,112.48050055521043,1,0.0,0,,off_track
evaluation,True,3150941,21,1455,497.7458023052456,955.925,198.809,109.82658708996566,1,0.0,0,,off_track
evaluation,True,3150941,22,1428,481.04975248472886,943.095,193.333,110.39929881862743,1,0.0,0,,off_track
training,True,3152171,23,1230,391.35263269070094,761.52,194.536,104.67870447406523,1,0.0,0,,off_track
training,True,3153595,24,1424,460.979193898262,899.488,187.37,106.15892005512639,1,0.0,0,,off_track
training,True,3154910,25,1315,472.81463646749074,868.842,193.76,111.38059338517104,0,13.0,0,,crashed
training,True,3156283,26,1373,440.51459294302146,881.541,194.571,108.24986086511272,1,0.0,0,,off_track
training,True,3156793,27,510,174.76666680688595,345.492,194.712,114.84309418823521,1,0.0,0,,off_track
training,True,3159780,28,2987,927.4527434090484,1825.11,194.29,106.08610103069962,1,0.0,0,,off_track
training,True,3162764,29,2984,977.9687836015528,1924.49,199.499,111.81710387878657,1,0.0,0,,off_track
evaluation,True,3162764,30,1496,477.8031953989914,964.059,198.494,107.12651716630997,1,0.0,0,,off_track
evaluation,True,3162764,31,1163,423.9350686515771,786.323,200.648,113.91466030687883,1,0.0,0,,off_track
evaluation,True,3162764,32,1150,409.7209808734446,769.713,197.623,112.76517709930431,1,0.0,0,,off_track
training,True,3164254,33,1490,514.9498297371852,983.942,198.509,110.57125003322135,1,0.0,0,,off_track
training,True,3165790,34,1536,527.7860701944221,1007.07,194.342,109.72941735865881,1,0.0,0,,off_track
training,True,3167095,35,1305,475.315544591465,868.43,195.741,111.74129591601523,0,13.0,0,,crashed
training,True,3168279,36,1184,417.4630367786473,796.59,196.747,113.30459675380068,1,0.0,0,,off_track
training,True,3171437,37,3158,1070.273029089427,2046.17,194.83,112.51652340167826,1,0.0,0,,off_track
evaluation,True,3171437,38,1187,418.4567075875978,797.574,196.354,112.9865749898061,1,0.0,0,,off_track
evaluation,True,3171437,39,1411,491.034601176892,964.766,198.682,114.05325045854025,1,0.0,0,,off_track
evaluation,True,3171437,40,1198,426.30499212834064,806.584,198.49,113.55040702278798,1,0.0,0,,off_track
training,True,3174347,41,2910,941.2988974792312,1815.36,192.542,108.07580922450138,1,0.0,0,,off_track
training,True,3175830,42,1483,524.88128723712,989.094,193.581,111.6787855973699,1,0.0,0,,off_track
training,True,3177208,43,1378,468.88840881223183,898.542,194.303,109.48350836502192,1,0.0,0,,off_track
training,True,3178685,44,1477,510.2781783279231,973.31,191.037,110.58900934434665,1,0.0,0,,off_track
training,True,3180036,45,1351,436.7564705406187,888.294,196.37,110.69934583849043,1,0.0,0,,off_track
evaluation,True,3180036,46,1142,411.19787877066904,778.928,200.02,114.78702504281974,1,0.0,0,,off_track
evaluation,True,3180036,47,1467,495.01130128296836,988.599,200.967,112.28449525957735,1,0.0,0,,off_track
evaluation,True,3180036,48,1162,411.86154079529314,780.181,196.047,113.10433876419975,1,0.0,0,,off_track
training,True,3181503,49,1467,514.7912429411069,971.019,194.993,111.43392580313562,1,0.0,0,,off_track
training,True,3182986,50,1483,507.65376432225673,982.382,197.654,111.29440809420105,1,0.0,0,,off_track
training,True,3185528,51,2542,784.6935876981216,1550.08,194.461,104.98731042057433,1,0.0,0,,off_track
training,True,3188847,52,3319,1066.391567929991,2033.75,178.989,106.71359695088898,1,0.0,0,,off_track
evaluation,True,3190340,54,3694,1367.764026047937,2574.04,197.029,119.36228405817542,1,0.0,0,,off_track
evaluation,True,3190340,55,1434,496.37752101499643,962.288,199.298,111.91659985271961,1,0.0,0,,off_track
evaluation,True,3190340,56,1444,490.54518851625676,966.045,196.294,111.53308463019403,1,0.0,0,,off_track
