mode,policy_controlled,global_step,episode,steps,reward,distance_m,max_speed_kmh,average_speed_kmh,off_track_steps,damage_delta,laps_completed,best_lap_time_seconds,termination_reason
evaluation_baseline,True,0,1,1765,453.3959199294293,929.561,180.344,89.29031189988667,1,0.0,0,,off_track
replay_warmup,True,0,2,1765,453.3959199294293,929.561,180.344,89.29031189988667,1,0.0,0,,off_track
replay_warmup,True,0,3,1765,453.3959199294293,929.561,180.344,89.29031189988667,1,0.0,0,,off_track
replay_warmup,True,0,4,1765,453.3959199294293,929.561,180.344,89.29031189988667,1,0.0,0,,off_track
replay_warmup,True,0,5,1765,453.3959199294293,929.561,180.344,89.29031189988667,1,0.0,0,,off_track
replay_warmup,True,0,6,1765,453.3959199294293,929.561,180.344,89.29031189988667,1,0.0,0,,off_track
replay_warmup,True,0,7,1765,453.3959199294293,929.561,180.344,89.29031189988667,1,0.0,0,,off_track
replay_warmup,True,0,8,1765,453.3959199294293,929.561,180.344,89.29031189988667,1,0.0,0,,off_track
replay_warmup,True,0,9,1765,453.3959199294293,929.561,180.344,89.29031189988667,1,0.0,0,,off_track
replay_warmup,True,0,10,1765,453.3959199294293,929.561,180.344,89.29031189988667,1,0.0,0,,off_track
replay_warmup,True,0,11,1765,453.3959199294293,929.561,180.344,89.29031189988667,1,0.0,0,,off_track
replay_warmup,True,0,12,1765,453.3959199294293,929.561,180.344,89.29031189988667,1,0.0,0,,off_track
replay_warmup,True,0,13,1765,453.3959199294293,929.561,180.344,89.29031189988667,1,0.0,0,,off_track
replay_warmup,True,0,14,1765,453.3959199294293,929.561,180.344,89.29031189988667,1,0.0,0,,off_track
replay_warmup,True,0,15,1765,453.3959199294293,929.561,180.344,89.29031189988667,1,0.0,0,,off_track
replay_warmup,True,0,16,1765,453.3959199294293,929.561,180.344,89.29031189988667,1,0.0,0,,off_track
replay_warmup,True,0,17,1765,453.3959199294293,929.561,180.344,89.29031189988667,1,0.0,0,,off_track
training,True,3,18,1765,453.3972264270014,929.564,180.344,89.29056515767704,1,0.0,0,,off_track
training,True,367,19,364,78.51467928550164,164.927,144.918,76.05205644890106,1,0.0,0,,off_track
training,True,1098,20,731,162.81212742637462,384.817,173.945,91.18178668919289,1,0.0,0,,off_track
training,True,1543,21,445,68.63987914704703,167.856,127.271,63.746882835505616,1,0.0,0,,off_track
training,True,2513,22,970,136.7133385181688,339.207,135.605,60.42077076907217,1,0.0,0,,off_track
training,True,3435,23,922,119.49624564396632,338.064,134.268,63.934321857917524,1,0.0,0,,off_track
training,True,3932,24,497,53.789457260693524,152.509,119.397,52.05306676820919,1,0.0,0,,off_track
training,True,4357,25,425,56.520328279678154,157.755,116.998,62.52234979764705,1,0.0,0,,off_track
training,True,5496,26,1139,118.82107304485186,369.325,124.045,56.33750461018435,1,0.0,0,,off_track
training,True,6036,27,540,53.913347719937484,146.354,67.7034,46.75684085555558,1,0.0,0,,off_track
training,True,6800,28,764,49.54466597551464,150.989,104.574,34.1847165001309,1,0.0,0,,off_track
training,True,7372,29,572,44.24892592418065,153.409,118.76,45.77224426905597,1,0.0,0,,off_track
training,True,7965,30,593,141.98615467268624,318.467,149.944,91.71990076391229,1,0.0,0,,off_track
training,True,8931,31,966,102.39841294450773,303.452,124.719,54.65165492018639,1,0.0,0,,off_track
training,True,9264,32,333,26.70536838608993,87.6411,103.186,43.94322338828829,0,0.0,0,,stalled
training,True,10132,33,868,104.278550789395,294.856,126.51,58.86694835576032,1,0.0,0,,off_track
evaluation,True,10132,34,307,35.629745247042976,117.148,128.388,63.57202787198694,1,0.0,0,,off_track
training,True,10635,35,503,49.1734612049231,155.518,121.375,52.40561081749502,1,0.0,0,,off_track
training,True,11999,36,1364,107.02006228639708,386.708,124.051,49.62575156136367,1,0.0,0,,off_track
training,True,12309,37,310,44.77926180133387,121.932,136.464,65.52349392903226,1,0.0,0,,off_track
training,True,12650,38,341,39.21985745965141,135.86,125.47,66.13501129618763,1,0.0,0,,off_track
training,True,12976,39,326,39.625626123829626,122.39,128.16,62.43849552147236,1,0.0,0,,off_track
training,True,13293,40,317,39.05666535091438,124.555,130.39,65.3556017116719,1,0.0,0,,off_track
training,True,13634,41,341,56.248994330626815,146.847,142.621,71.90482455425222,1,0.0,0,,off_track
training,True,13952,42,318,37.92330752425969,126.817,130.366,66.33288108707544,1,0.0,0,,off_track
training,True,14448,43,496,46.74408321172886,156.731,119.125,53.704386829435435,1,0.0,0,,off_track
training,True,14813,44,365,77.67284531284899,172.359,155.075,78.93282365933702,1,0.0,0,,off_track
training,True,15149,45,336,68.17348347813662,145.129,145.108,72.1631481833333,1,0.0,0,,off_track
